ID,name,loc,country,country_id,rank_raw,rank,scholarship,status,research_output,student_faculty_ratio,int_students,size,total_faculty,link,admission_raw,city,tuition_fee_raw,currency,exchange_rate,fee_min,fee_max,fee_avg,fee_min_usd,fee_max_usd,fee_avg_usd
3848,Ho Chi Minh City University of Economics & Finance - UEF,"141 Dien Bien Phu Main Campus, Ho Chi Minh, Vietnam +1",Vietnam,106,,,,,,,,,,https://www.topuniversities.com/universities/ho-chi-minh-city-university-economics-finance-uef,,Ho Chi Minh,,,,,,,,,
3849,Krirk University,"Bang Khen Bangkok, Thailand",Thailand,98,,,,Private,Low,8,2273,S,545,https://www.topuniversities.com/universities/krirk-university,,Bang Khen Bangkok,,,,,,,,,
3850,University of Perpetual Help System DALTA,"University of Perpetual Help System DALTA Las Piñas City, Philippines",Philippines,78,,,,,,,,,,https://www.topuniversities.com/universities/university-perpetual-help-system-dalta,,University of Perpetual Help System DALTA Las Piñas City,,,,,,,,,
3851,Private Higher Educational Establishment “Kyiv Medical University”,"Lva Tolstoho St, 9, Kyiv,, Kyiv, UA Kyiv, Ukraine",Ukraine,101,,,,,,,,,,https://www.topuniversities.com/universities/private-higher-educational-establishment-kyiv-medical-university,,UA Kyiv,,,,,,,,,
3852,Campbellsville University,"Online Campbellsville, United States",United States,104,,,,,,,,,,https://www.topuniversities.com/universities/campbellsville-university,,Online Campbellsville,,,,,,,,,
3853,Namangan State University,"Main campus, Namangan, Uzbekistan +5",Uzbekistan,105,,,,,,,,,,https://www.topuniversities.com/universities/namangan-state-university,"BSC:
- Own admission test: 56+",Namangan,1000-1500,USD,1,1000,1500,1250,1000,1500,1250
3854,University of West Alabama,"University of West Alabama Livingston, United States",United States,104,,,,,,,,,,https://www.topuniversities.com/universities/university-west-alabama,"BSC:
- IELTS: 6+
- TOEFL: 90+
- PTE Academic: 61+
- Cambridge CAE Advanced: 180+
- GPA: 2+",University of West Alabama Livingston,,,,,,,,,
3855,Amity University - Madhya Pradesh,,,,,,,,,,,,,https://www.topuniversities.com/universities/amity-university-madhya-pradesh,,,,,,,,,,,
3856,Babol Noshirvani University of Technology,"Main Campus, Babol, Iran +1",Iran,41,,,,Public,Very High,27,97,M,,https://www.topuniversities.com/universities/babol-noshirvani-university-technology,,Babol,5600-7000,USD,1,5600,7000,6300,5600,7000,6300
3857,Karshi State University,"Kuchabag Karshi, Uzbekistan",Uzbekistan,105,,,,,,,,,,https://www.topuniversities.com/universities/karshi-state-university,"BSC:
- Own admission test: 70+",Kuchabag Karshi,1600,USD,1,1600,1600,1600,1600,1600,1600
3858,ISCOM,"ISCOM Paris, Paris, France +9",France,31,,,,,,,,,,https://www.topuniversities.com/universities/iscom,,Paris,,,,,,,,,
3859,Petro Mohyla Black Sea National University,"Petro Mohyla Black Sea National University Mykolaiv, Ukraine",Ukraine,101,,,,,,,,,,https://www.topuniversities.com/universities/petro-mohyla-black-sea-national-university,"BSC:
- Own admission test: 100+",Petro Mohyla Black Sea National University Mykolaiv,1100-3800,USD,1,1100,3800,2450,1100,3800,2450
3860,University of Warith Al-Anbiyaa,"University of Warith Al-Anbiyaa جامعة وارث الانبياء Karbala, Iraq",Iraq,42,,,,,,,,,,https://www.topuniversities.com/universities/university-warith-al-anbiyaa,,University of Warith Al-Anbiyaa جامعة وارث الانبياء Karbala,,,,,,,,,
3861,International Business Academy of Switzerland (IBAS),"Main campus Thalwil,, Switzerland",Switzerland,95,,,,,,,,,,https://www.topuniversities.com/universities/international-business-academy-switzerland-ibas,,"Main campus Thalwil,",,,,,,,,,
3862,Altoosi University College,"Altoosi University College Najaf, Iraq",Iraq,42,,,,,,,,,,https://www.topuniversities.com/universities/altoosi-university-college,,Altoosi University College Najaf,,,,,,,,,
3863,Graduate University of Advanced Technology,"Graduate University of Advanced Technology Kerman, Iran",Iran,41,,,,,,,,,,https://www.topuniversities.com/universities/graduate-university-advanced-technology,,Graduate University of Advanced Technology Kerman,,,,,,,,,
3864,Cyprus Health and Social Sciences University,"Morphou Campus Morphou, Northern Cyprus",Northern Cyprus,73,,,,,,,,,,https://www.topuniversities.com/universities/cyprus-health-social-sciences-university,,Morphou Campus Morphou,,,,,,,,,
3865,IMT Nord Europe,"Douai Campus (Lahure), Douai, France +2",France,31,,,,,,,,,,https://www.topuniversities.com/universities/imt-nord-europe,,Douai,6600,EUR,1.08,6600,6600,6600,7128,7128,7128
3866,University of Nottingham Ningbo China,"199 Taikang East Road, Ningbo, CN Ningbo, China (Mainland)",China (Mainland),16,,,,,,,,,,https://www.topuniversities.com/universities/university-nottingham-ningbo-china,,CN Ningbo,,,,,,,,,
3867,Volgograd State Medical University,"Main campus, Volgograd, Russia +3",Russia,83,,,,,,,,,,https://www.topuniversities.com/universities/volgograd-state-medical-university,,Volgograd,332500,RUB,0.011,332500,332500,332500,3657.5,3657.5,3657.5
